auc,S.P,TPR,FPR,GAP
0.6649657439523475,0.301450627499502,0.2746909351955239,0.25207367434318867,0.2633823047693563
0.6296011035917939,0.3291865011917151,0.32316220518964694,0.2831686502352137,0.3031654277124303
0.6451744659456903,0.29896191882355344,0.27907243714843305,0.2648961623293864,0.2719842997389097
0.6691865657141958,0.3223967037922864,0.3322174210661418,0.20867371258567693,0.27044556682590937
0.6724009050738456,0.3513517005574696,0.3603899223259355,0.23778129804780318,0.2990856101868693
0.6369179842855758,0.2933685590113931,0.2635892709511927,0.29186345195392693,0.2777263614525598
0.6366243411135244,0.32427079614264886,0.29504023162433424,0.3052418495631792,0.3001410405937567
0.646595093165916,0.230630689180144,0.24434111765480482,0.16611095251689023,0.20522603508584752
0.6558708972453458,0.3174103082097603,0.3107079182985289,0.2822867564894615,0.2964973373939952
0.6499810664816278,0.28485944930992413,0.2761049676184297,0.27450636714837595,0.2753056673834028
0.6752162966316715,0.34532179830594373,0.33720136518771326,0.2831943535304665,0.3101978593590899
0.673279181483561,0.3345452864001691,0.3115460697553358,0.3080143783318863,0.30978022404361105
0.6599362442860087,0.30909481163246233,0.3085399364840787,0.2600907029478458,0.28431531971596224
0.6176841217604133,0.27930943221212534,0.3110897789593863,0.16030178891047786,0.23569578393493207
0.6431320768500256,0.28614826431528295,0.295516157725438,0.2050098328064478,0.25026299526594287
0.6553282156738192,0.2943220423177209,0.29826457241379856,0.22016702551053696,0.25921579896216773
0.6625474754724688,0.2570726780449723,0.25308654244685697,0.19354042039405084,0.2233134814204539
0.6138688453857207,0.31950999561887267,0.3435236921505439,0.25994753243591134,0.30173561229322765
0.6140526465438898,0.30085478386729425,0.31123387803821734,0.2563389855270742,0.28378643178264573
0.5774136577797313,0.3216223921796001,0.3514333515232117,0.25918500033092085,0.3053091759270663
0.5891031653586625,0.3025243315538232,0.37093902991789324,0.20856562749102925,0.2897523287044612
0.6168408057840281,0.32510495382031906,0.3660338236247004,0.27400193023262437,0.32001787692866235
0.5886540215862025,0.3746710298096714,0.4089906703273442,0.3318585479199159,0.37042460912363007
0.5991866363990564,0.36017967877538787,0.36522002333570097,0.33438102844504514,0.349800525890373
0.5997942866275595,0.31808514610151506,0.30831909184262407,0.30127300014208575,0.3047960459923549
0.5917342845145204,0.30913086034436393,0.31677148347389444,0.2904801108976659,0.3036257971857802
0.6042129499682487,0.31229060857868407,0.3180970160264125,0.29365182449716776,0.3058744202617901
0.6419063116817484,0.31659672227151103,0.31339626263754045,0.2830899044845162,0.29824308356102835
0.6431055594933082,0.2948106431035126,0.3029971625938045,0.25114956827836593,0.2770733654360852
0.5926034431612617,0.29632357516841495,0.2920526460888417,0.300028116544871,0.29604038131685634
0.5406804078795058,0.3136354186595822,0.3150404574054797,0.31350249484554127,0.3142714761255105
0.5811154753390093,0.3547097063019924,0.3549893075509774,0.3391455972101133,0.34706745238054537
0.5799556730633031,0.33318521032416465,0.3175934903253053,0.33184962850532373,0.32472155941531455
0.5980072905037382,0.3153227790605246,0.3313788473222016,0.25209351487117454,0.2917361810966881
0.6038538533761831,0.30362080600318514,0.30234398107068916,0.28214183175423485,0.292242906412462
0.5965236995467531,0.3111405051505254,0.3071924074507776,0.29336183399039445,0.300277120720586
0.6094626788260065,0.3099522833015354,0.32516472550801767,0.24914179907339962,0.28715326229070864
0.5921873517350067,0.3186879496575367,0.3312431376938045,0.27470269792381996,0.3029729178088122
0.5899088777197623,0.27542294938406003,0.2722984834902136,0.281051544202122,0.27667501384616777
0.6017399721491568,0.2717165628558033,0.30338263550650163,0.18284252473518647,0.24311258012084405
0.5919296769397874,0.27369401175385577,0.31143147837630125,0.16524417261692897,0.2383378254966151
0.584567206192822,0.3194559389844761,0.349754957557554,0.2505235273905816,0.30013924247406776
0.5840547485027482,0.34148770668956074,0.36299832484265243,0.28901806765328997,0.32600819624797117
0.5761846238201472,0.32276799730549227,0.3200032208801331,0.32552408745527506,0.3227636541677041
0.5847550468524793,0.34023295091391453,0.3572218899521531,0.2983647126368514,0.32779330129450224
0.5938053064715946,0.32938148581987364,0.35510268146144286,0.26813083512622626,0.31161675829383456
0.5961918907269148,0.37129218536896785,0.4143185684351933,0.29515102260327164,0.3547347955192325
0.5794587750575804,0.34198268762718437,0.35276226929079924,0.31175691026126473,0.332259589776032
0.6042672978334991,0.32038538269435374,0.3444958577242343,0.24386936784824031,0.2941826127862373
0.5972531591131771,0.304819944755174,0.3311373304835438,0.20821257822162337,0.2696749543525836
0.6038558823035454,0.2705216777155701,0.287637365466267,0.21348047156399008,0.25055891851512857
0.6396356697218275,0.25561171650727893,0.29162895927601806,0.17251193507571239,0.23207044717586522
0.6494789319888838,0.3550966476379963,0.3932938820768691,0.260427200667501,0.32686054137218506
